VRAE:Work Refid,File Name [en],File Name [es],VRAE:Admin Cataloguer,VRAE:Work Agent,VRAE:Work Title,VRAE:Work Type [es],VRAE:Work Type [en],VRAE:Work Material [es],VRAE:Work Material [en],VRAE:Work Description [es],VRAE:Work Description [en],VRAE:Work Measurements,VRAE:Work Date,VRAE:Work Location,VRAE:GPSLatitude,VRAE:GPSLongitude,VRAE:Image Refid,VRAE:Image Relation,VRAE:Work Location Creation,VRAE:Work Cultural Context,VRAE:Work Style Period,VRAE:Collection Refid,VRAE:Image Rights,VRAE:Image Source,VRAE:Image Href [en],VRAE:Image Href [es],DC:Title,DC:Creator,DC:Subject [es],DC:Subject [en],DC:Description [es],DC:Description [en],DC:Publisher,DC:Contributor,DC:Coverage,DC:Date,DC:Type [es],DC:Type [en],DC:Format [es],DC:Format [en],DC:Copyright Notice,DC:Source,DC:Language [en],DC:Language [es],DC:Relation,DC:Identifier
w_440,AR-MA-Bruzzone-Belleza-y-Felicidad-Pensaste-en-comprar-0440-00-EN.jpg,AR-MA-Bruzzone-Belleza-y-Felicidad-Pensaste-en-comprar-0440-00-ES.jpg,Martin Gersbach,Belleza y Felicidad,Pensaste en comprar…,impresión (estampa individual) [aat:300178549],impressions (prints) [aat:300178549],pintura (material) [aat:300015029]; cartón (papel) [aat:300162474]; marcador (instrumento de dibujo) [aat:300022457],paint (coating) [aat:300015029]; pasteboard (paper) [aat:300162474]; markers (drawing instruments) [aat:300022457],Leyenda con stickers,Legend with stickers,35 cm x 50 cm,2000 (creation),"Colección Bruzzone (Buenos Aires, Argentina) Inv. w_440",-34.60,-58.38,i_0440-00,"imageOf w_440, Bruzzone Database",Argentina,Argentinean,Contemporary,c_1,CC BY-SA 4.0 Roberto Macchiavelli,https://museosabiertos.org/assets/,https://museosabiertos.org/assets/AR-MA-Bruzzone-Belleza-y-Felicidad-Pensaste-en-comprar-0440-00-EN.jpg,https://museosabiertos.org/assets/AR-MA-Bruzzone-Belleza-y-Felicidad-Pensaste-en-comprar-0440-00-ES.jpg,Pensaste en comprar…,Martin Gersbach; Museos Abiertos,impresión (estampa individual) [aat:300178549]; pintura (material) [aat:300015029]; cartón (papel) [aat:300162474]; marcador (instrumento de dibujo) [aat:300022457]; Argentinean; Contemporary,impressions (prints) [aat:300178549]; paint (coating) [aat:300015029]; pasteboard (paper) [aat:300162474]; markers (drawing instruments) [aat:300022457]; Argentinean; Contemporary,Leyenda con stickers,Legend with stickers,Museos Abiertos,Martin Gersbach,Ciudad Autónoma de Buenos Aires (autonomous city) [tgn:7593303],2022-8-29,impresión (estampa individual) [aat:300178549],impressions (prints) [aat:300178549],pintura (material) [aat:300015029]; cartón (papel) [aat:300162474]; marcador (instrumento de dibujo) [aat:300022457],paint (coating) [aat:300015029]; pasteboard (paper) [aat:300162474]; markers (drawing instruments) [aat:300022457],Attribution 4.0 International (CC BY 4.0),https://museosabiertos.org/assets/,English,Spanish,"imageOf w_440, Bruzzone Database",w_440
w_539,AR-MA-Bruzzone-Belleza-y-Felicidad-Planchas-de-Figuritas-0539-00-EN.jpg,AR-MA-Bruzzone-Belleza-y-Felicidad-Planchas-de-Figuritas-0539-00-ES.jpg,Martin Gersbach,Belleza y Felicidad,Planchas de Figuritas,impresión (estampa individual) [aat:300178549],impressions (prints) [aat:300178549],papel (producto de fibra) [aat:300014109]; tinta [aat:300015012],paper (fiber product) [aat:300014109]; ink [aat:300015012],"22 Figuritas con brillantina, en planchas","22 Figurines with glitter, in sheets",24 cm x 36 cm,2000 (creation),"Colección Bruzzone (Buenos Aires, Argentina) Inv. w_539",-34.60,-58.38,i_0539-00,"imageOf w_539, Bruzzone Database",Argentina,Argentinean,Contemporary,c_1,CC BY-SA 4.0 Roberto Macchiavelli,https://museosabiertos.org/assets/,https://museosabiertos.org/assets/AR-MA-Bruzzone-Belleza-y-Felicidad-Planchas-de-Figuritas-0539-00-EN.jpg,https://museosabiertos.org/assets/AR-MA-Bruzzone-Belleza-y-Felicidad-Planchas-de-Figuritas-0539-00-ES.jpg,Planchas de Figuritas,Martin Gersbach; Museos Abiertos,impresión (estampa individual) [aat:300178549]; papel (producto de fibra) [aat:300014109]; tinta [aat:300015012]; Argentinean; Contemporary,impressions (prints) [aat:300178549]; paper (fiber product) [aat:300014109]; ink [aat:300015012]; Argentinean; Contemporary,"22 Figuritas con brillantina, en planchas","22 Figurines with glitter, in sheets",Museos Abiertos,Martin Gersbach,Ciudad Autónoma de Buenos Aires (autonomous city) [tgn:7593303],2022-8-29,impresión (estampa individual) [aat:300178549],impressions (prints) [aat:300178549],papel (producto de fibra) [aat:300014109]; tinta [aat:300015012],paper (fiber product) [aat:300014109]; ink [aat:300015012],Attribution 4.0 International (CC BY 4.0),https://museosabiertos.org/assets/,English,Spanish,"imageOf w_539, Bruzzone Database",w_539
w_1202,AR-MA-Bruzzone-Belmonte-Yo-no-hice-nada-1202-00-EN.jpg,AR-MA-Bruzzone-Belmonte-Yo-no-hice-nada-1202-00-ES.jpg,Martin Gersbach,"Belmonte, Josué Marcos",Yo no hice nada,impresión (estampa individual) [aat:300178549],impressions (prints) [aat:300178549],cartón (papel) [aat:300162474],pasteboard (paper) [aat:300162474],Libro con dibujos tipo comics y textos,Book with comic-like drawings and text,21 cm x 15.5 cm,2015 (creation),"Colección Bruzzone (Buenos Aires, Argentina) Inv. w_1202",-34.60,-58.38,i_1202-00,"imageOf w_1202, Bruzzone Database",Argentina,Argentinean,Contemporary,c_1,CC BY-SA 4.0 Roberto Macchiavelli,https://museosabiertos.org/assets/,https://museosabiertos.org/assets/AR-MA-Bruzzone-Belmonte-Yo-no-hice-nada-1202-00-EN.jpg,https://museosabiertos.org/assets/AR-MA-Bruzzone-Belmonte-Yo-no-hice-nada-1202-00-ES.jpg,Yo no hice nada,Martin Gersbach; Museos Abiertos,impresión (estampa individual) [aat:300178549]; cartón (papel) [aat:300162474]; Argentinean; Contemporary,impressions (prints) [aat:300178549]; pasteboard (paper) [aat:300162474]; Argentinean; Contemporary,Libro con dibujos tipo comics y textos,Book with comic-like drawings and text,Museos Abiertos,Martin Gersbach,Ciudad Autónoma de Buenos Aires (autonomous city) [tgn:7593303],2022-8-29,impresión (estampa individual) [aat:300178549],impressions (prints) [aat:300178549],cartón (papel) [aat:300162474],pasteboard (paper) [aat:300162474],Attribution 4.0 International (CC BY 4.0),https://museosabiertos.org/assets/,English,Spanish,"imageOf w_1202, Bruzzone Database",w_1202
w_311,AR-MA-Bruzzone-Beltrame-Escarapela-0311-00-EN.jpg,AR-MA-Bruzzone-Beltrame-Escarapela-0311-00-ES.jpg,Martin Gersbach,"Beltrame, Carlota",Escarapela,tejido (obra visual) [aat:300264039],knitting (needlework) [aat:300264039],hilo [aat:300014252],yarn [aat:300014252],Escarapela de hilo tejido,Woven yarn badge,5 cm (diameter),1999 (creation),"Colección Bruzzone (Buenos Aires, Argentina) Inv. w_311",-34.60,-58.38,i_0311-00,"imageOf w_311, Bruzzone Database",Argentina,Argentinean,Contemporary,c_1,CC BY-SA 4.0 Roberto Macchiavelli,https://museosabiertos.org/assets/,https://museosabiertos.org/assets/AR-MA-Bruzzone-Beltrame-Escarapela-0311-00-EN.jpg,https://museosabiertos.org/assets/AR-MA-Bruzzone-Beltrame-Escarapela-0311-00-ES.jpg,Escarapela,Martin Gersbach; Museos Abiertos,tejido (obra visual) [aat:300264039]; hilo [aat:300014252]; Argentinean; Contemporary,knitting (needlework) [aat:300264039]; yarn [aat:300014252]; Argentinean; Contemporary,Escarapela de hilo tejido,Woven yarn badge,Museos Abiertos,Martin Gersbach,Ciudad Autónoma de Buenos Aires (autonomous city) [tgn:7593303],2022-8-29,tejido (obra visual) [aat:300264039],knitting (needlework) [aat:300264039],hilo [aat:300014252],yarn [aat:300014252],Attribution 4.0 International (CC BY 4.0),https://museosabiertos.org/assets/,English,Spanish,"imageOf w_311, Bruzzone Database",w_311
w_497,AR-MA-Bruzzone-Beltrame-Polizeipistole-0497-00-EN.jpg,AR-MA-Bruzzone-Beltrame-Polizeipistole-0497-00-ES.jpg,Martin Gersbach,"Beltrame, Carlota",Polizeipistole,escultura (obra visual) [aat:300047090],sculpture (visual works) [aat:300047090],plástico (material orgánico) [aat:300014570],plastic (organic material) [aat:300014570],Replica de la pistola de Bussi. Recuerdo de Provincia,Replica of Bussi's pistol. Province souvenir,20 cm x 13 cm x 3 cm,1999 (creation),"Colección Bruzzone (Buenos Aires, Argentina) Inv. w_497",-34.60,-58.38,i_0497-00,"imageOf w_497, Bruzzone Database",Argentina,Argentinean,Contemporary,c_1,CC BY-SA 4.0 Roberto Macchiavelli,https://museosabiertos.org/assets/,https://museosabiertos.org/assets/AR-MA-Bruzzone-Beltrame-Polizeipistole-0497-00-EN.jpg,https://museosabiertos.org/assets/AR-MA-Bruzzone-Beltrame-Polizeipistole-0497-00-ES.jpg,Polizeipistole,Martin Gersbach; Museos Abiertos,escultura (obra visual) [aat:300047090]; plástico (material orgánico) [aat:300014570]; Argentinean; Contemporary,sculpture (visual works) [aat:300047090]; plastic (organic material) [aat:300014570]; Argentinean; Contemporary,Replica de la pistola de Bussi. Recuerdo de Provincia,Replica of Bussi's pistol. Province souvenir,Museos Abiertos,Martin Gersbach,Ciudad Autónoma de Buenos Aires (autonomous city) [tgn:7593303],2022-8-29,escultura (obra visual) [aat:300047090],sculpture (visual works) [aat:300047090],plástico (material orgánico) [aat:300014570],plastic (organic material) [aat:300014570],Attribution 4.0 International (CC BY 4.0),https://museosabiertos.org/assets/,English,Spanish,"imageOf w_497, Bruzzone Database",w_497
w_574,AR-MA-Bruzzone-Beltrame-Tejido-0574-00-EN.jpg,AR-MA-Bruzzone-Beltrame-Tejido-0574-00-ES.jpg,Martin Gersbach,"Beltrame, Carlota",Tejido,tejido (obra visual) [aat:300264039],knitting (needlework) [aat:300264039],tejido (material textil) [aat:300162391]; hilo [aat:300014252],cloth [aat:300162391]; yarn [aat:300014252],"Tejido circular, con diferentes puntos de tejido","Circular knitting, with different knitting stitches",6 cm (diameter),1999 (creation),"Colección Bruzzone (Buenos Aires, Argentina) Inv. w_574",-34.60,-58.38,i_0574-00,"imageOf w_574, Bruzzone Database",Argentina,Argentinean,Contemporary,c_1,CC BY-SA 4.0 Roberto Macchiavelli,https://museosabiertos.org/assets/,https://museosabiertos.org/assets/AR-MA-Bruzzone-Beltrame-Tejido-0574-00-EN.jpg,https://museosabiertos.org/assets/AR-MA-Bruzzone-Beltrame-Tejido-0574-00-ES.jpg,Tejido,Martin Gersbach; Museos Abiertos,tejido (obra visual) [aat:300264039]; tejido (material textil) [aat:300162391]; hilo [aat:300014252]; Argentinean; Contemporary,knitting (needlework) [aat:300264039]; cloth [aat:300162391]; yarn [aat:300014252]; Argentinean; Contemporary,"Tejido circular, con diferentes puntos de tejido","Circular knitting, with different knitting stitches",Museos Abiertos,Martin Gersbach,Ciudad Autónoma de Buenos Aires (autonomous city) [tgn:7593303],2022-8-29,tejido (obra visual) [aat:300264039],knitting (needlework) [aat:300264039],tejido (material textil) [aat:300162391]; hilo [aat:300014252],cloth [aat:300162391]; yarn [aat:300014252],Attribution 4.0 International (CC BY 4.0),https://museosabiertos.org/assets/,English,Spanish,"imageOf w_574, Bruzzone Database",w_574
w_1034,AR-MA-Bruzzone-Benavidez-Bedoya-Santoro-Expediente-Extraordinario-1034-00-EN.jpg,AR-MA-Bruzzone-Benavidez-Bedoya-Santoro-Expediente-Extraordinario-1034-00-ES.jpg,Martin Gersbach,"Benavídez Bedoya, Alfredo; Santoro, Daniel",Expediente Extraordinario,impresión (estampa individual) [aat:300178549],impressions (prints) [aat:300178549],papel (producto de fibra) [aat:300014109]; tinta [aat:300015012],paper (fiber product) [aat:300014109]; ink [aat:300015012],Libro imitando un expediente con leyendas en folios e ilustraciones de referencia,"Circular knitting, with different knitting stitches",26 cm x 17.5 cm,2003 (creation),"Colección Bruzzone (Buenos Aires, Argentina) Inv. w_1034",-34.60,-58.38,i_1034-00,"imageOf w_1034, Bruzzone Database",Argentina,Argentinean,Contemporary,c_1,CC BY-SA 4.0 Roberto Macchiavelli,https://museosabiertos.org/assets/,https://museosabiertos.org/assets/AR-MA-Bruzzone-Benavidez-Bedoya-Santoro-Expediente-Extraordinario-1034-00-EN.jpg,https://museosabiertos.org/assets/AR-MA-Bruzzone-Benavidez-Bedoya-Santoro-Expediente-Extraordinario-1034-00-ES.jpg,Expediente Extraordinario,Martin Gersbach; Museos Abiertos,impresión (estampa individual) [aat:300178549]; papel (producto de fibra) [aat:300014109]; tinta [aat:300015012]; Argentinean; Contemporary,impressions (prints) [aat:300178549]; paper (fiber product) [aat:300014109]; ink [aat:300015012]; Argentinean; Contemporary,Libro imitando un expediente con leyendas en folios e ilustraciones de referencia,"Circular knitting, with different knitting stitches",Museos Abiertos,Martin Gersbach,Ciudad Autónoma de Buenos Aires (autonomous city) [tgn:7593303],2022-8-29,impresión (estampa individual) [aat:300178549],impressions (prints) [aat:300178549],papel (producto de fibra) [aat:300014109]; tinta [aat:300015012],paper (fiber product) [aat:300014109]; ink [aat:300015012],Attribution 4.0 International (CC BY 4.0),https://museosabiertos.org/assets/,English,Spanish,"imageOf w_1034, Bruzzone Database",w_1034
w_1979,AR-MA-Bruzzone-Biagini-Cecilia-Tapaboca-1979-00-EN.jpg,AR-MA-Bruzzone-Biagini-Cecilia-Tapaboca-1979-00-ES.jpg,Martin Gersbach,"Biagini, Cecilia",Tapaboca,arte textil [aat:300386847],fabric art (visual works) [aat:300386847],tejido (material textil) [aat:300162391],cloth [aat:300162391],Un tapaboca con imagen de obra de la artista,A mouthpiece with an image of the artist's work.,12 cm x 34 cm,2021 (creation),"Colección Bruzzone (Buenos Aires, Argentina) Inv. w_1979",-34.60,-58.38,i_1979-00,"imageOf w_1979, Bruzzone Database",Argentina,Argentinean,Contemporary,c_1,CC BY-SA 4.0 Roberto Macchiavelli,https://museosabiertos.org/assets/,https://museosabiertos.org/assets/AR-MA-Bruzzone-Biagini-Cecilia-Tapaboca-1979-00-EN.jpg,https://museosabiertos.org/assets/AR-MA-Bruzzone-Biagini-Cecilia-Tapaboca-1979-00-ES.jpg,Tapaboca,Martin Gersbach; Museos Abiertos,arte textil [aat:300386847]; tejido (material textil) [aat:300162391]; Argentinean; Contemporary,fabric art (visual works) [aat:300386847]; cloth [aat:300162391]; Argentinean; Contemporary,Un tapaboca con imagen de obra de la artista,A mouthpiece with an image of the artist's work.,Museos Abiertos,Martin Gersbach,Ciudad Autónoma de Buenos Aires (autonomous city) [tgn:7593303],2022-8-29,arte textil [aat:300386847],fabric art (visual works) [aat:300386847],tejido (material textil) [aat:300162391],cloth [aat:300162391],Attribution 4.0 International (CC BY 4.0),https://museosabiertos.org/assets/,English,Spanish,"imageOf w_1979, Bruzzone Database",w_1979
w_1471,AR-MA-Bruzzone-Bianchedi-Max-y-La-Bestia-1471-00-EN.jpg,AR-MA-Bruzzone-Bianchedi-Max-y-La-Bestia-1471-00-ES.jpg,Martin Gersbach,"Bianchedi, Remo",Max y La Bestia,impresión (estampa individual) [aat:300178549],impressions (prints) [aat:300178549],papel (producto de fibra) [aat:300014109]; tinta [aat:300015012],paper (fiber product) [aat:300014109]; ink [aat:300015012],Librillo con una poesía y una pluma en la contratapa,Booklet with a poem and a feather on the back cover,10.5 cm x 8.5 cm,2000 (creation),"Colección Bruzzone (Buenos Aires, Argentina) Inv. w_1471",-34.60,-58.38,i_1471-00,"imageOf w_1471, Bruzzone Database",Argentina,Argentinean,Contemporary,c_1,CC BY-SA 4.0 Roberto Macchiavelli,https://museosabiertos.org/assets/,https://museosabiertos.org/assets/AR-MA-Bruzzone-Bianchedi-Max-y-La-Bestia-1471-00-EN.jpg,https://museosabiertos.org/assets/AR-MA-Bruzzone-Bianchedi-Max-y-La-Bestia-1471-00-ES.jpg,Max y La Bestia,Martin Gersbach; Museos Abiertos,impresión (estampa individual) [aat:300178549]; papel (producto de fibra) [aat:300014109]; tinta [aat:300015012]; Argentinean; Contemporary,impressions (prints) [aat:300178549]; paper (fiber product) [aat:300014109]; ink [aat:300015012]; Argentinean; Contemporary,Librillo con una poesía y una pluma en la contratapa,Booklet with a poem and a feather on the back cover,Museos Abiertos,Martin Gersbach,Ciudad Autónoma de Buenos Aires (autonomous city) [tgn:7593303],2022-8-29,impresión (estampa individual) [aat:300178549],impressions (prints) [aat:300178549],papel (producto de fibra) [aat:300014109]; tinta [aat:300015012],paper (fiber product) [aat:300014109]; ink [aat:300015012],Attribution 4.0 International (CC BY 4.0),https://museosabiertos.org/assets/,English,Spanish,"imageOf w_1471, Bruzzone Database",w_1471
w_1,AR-MA-Bruzzone-Bianchi-Coleccion-1-0001-00-EN.jpg,AR-MA-Bruzzone-Bianchi-Coleccion-1-0001-00-ES.jpg,Martin Gersbach,"Bianchi, Diego",Colección 1,collage (obra visual) [aat:300033963],collages (visual works) [aat:300033963],técnica mixta (material artístico) [aat:300163347]; lápiz de grafito [aat:300022443],mixed media [aat:300163347]; graphite pencils [aat:300022443],Imagen de un barrilete,Image of a kite,15 cm x 15 cm,2009 (creation),"Colección Bruzzone (Buenos Aires, Argentina) Inv. w_1",-34.60,-58.38,i_0001-00,"imageOf w_1, Bruzzone Database",Argentina,Argentinean,Contemporary,c_1,CC BY-SA 4.0 Roberto Macchiavelli,https://museosabiertos.org/assets/,https://museosabiertos.org/assets/AR-MA-Bruzzone-Bianchi-Coleccion-1-0001-00-EN.jpg,https://museosabiertos.org/assets/AR-MA-Bruzzone-Bianchi-Coleccion-1-0001-00-ES.jpg,Colección 1,Martin Gersbach; Museos Abiertos,collage (obra visual) [aat:300033963]; técnica mixta (material artístico) [aat:300163347]; lápiz de grafito [aat:300022443]; Argentinean; Contemporary,collages (visual works) [aat:300033963]; mixed media [aat:300163347]; graphite pencils [aat:300022443]; Argentinean; Contemporary,Imagen de un barrilete,Image of a kite,Museos Abiertos,Martin Gersbach,Ciudad Autónoma de Buenos Aires (autonomous city) [tgn:7593303],2022-8-29,collage (obra visual) [aat:300033963],collages (visual works) [aat:300033963],técnica mixta (material artístico) [aat:300163347]; lápiz de grafito [aat:300022443],mixed media [aat:300163347]; graphite pencils [aat:300022443],Attribution 4.0 International (CC BY 4.0),https://museosabiertos.org/assets/,English,Spanish,"imageOf w_1, Bruzzone Database",w_1
w_6,AR-MA-Bruzzone-Bianchi-Coleccion-2-0006-00-EN.jpg,AR-MA-Bruzzone-Bianchi-Coleccion-2-0006-00-ES.jpg,Martin Gersbach,"Bianchi, Diego",Colección 2,collage (obra visual) [aat:300033963],collages (visual works) [aat:300033963],técnica mixta (material artístico) [aat:300163347]; lápiz de grafito [aat:300022443],mixed media [aat:300163347]; graphite pencils [aat:300022443],Habitación con personajes,Room with characters,15 cm x 15 cm,2009 (creation),"Colección Bruzzone (Buenos Aires, Argentina) Inv. w_6",-34.60,-58.38,i_0006-00,"imageOf w_6, Bruzzone Database",Argentina,Argentinean,Contemporary,c_1,CC BY-SA 4.0 Roberto Macchiavelli,https://museosabiertos.org/assets/,https://museosabiertos.org/assets/AR-MA-Bruzzone-Bianchi-Coleccion-2-0006-00-EN.jpg,https://museosabiertos.org/assets/AR-MA-Bruzzone-Bianchi-Coleccion-2-0006-00-ES.jpg,Colección 2,Martin Gersbach; Museos Abiertos,collage (obra visual) [aat:300033963]; técnica mixta (material artístico) [aat:300163347]; lápiz de grafito [aat:300022443]; Argentinean; Contemporary,collages (visual works) [aat:300033963]; mixed media [aat:300163347]; graphite pencils [aat:300022443]; Argentinean; Contemporary,Habitación con personajes,Room with characters,Museos Abiertos,Martin Gersbach,Ciudad Autónoma de Buenos Aires (autonomous city) [tgn:7593303],2022-8-29,collage (obra visual) [aat:300033963],collages (visual works) [aat:300033963],técnica mixta (material artístico) [aat:300163347]; lápiz de grafito [aat:300022443],mixed media [aat:300163347]; graphite pencils [aat:300022443],Attribution 4.0 International (CC BY 4.0),https://museosabiertos.org/assets/,English,Spanish,"imageOf w_6, Bruzzone Database",w_6
w_9,AR-MA-Bruzzone-Bianchi-Coleccion-3-0009-00-EN.jpg,AR-MA-Bruzzone-Bianchi-Coleccion-3-0009-00-ES.jpg,Martin Gersbach,"Bianchi, Diego",Colección 3,collage (obra visual) [aat:300033963],collages (visual works) [aat:300033963],técnica mixta (material artístico) [aat:300163347]; lápiz de grafito [aat:300022443],mixed media [aat:300163347]; graphite pencils [aat:300022443],Imagen de un personaje abstracto,Image of an abstract character,15 cm x 15 cm,2009 (creation),"Colección Bruzzone (Buenos Aires, Argentina) Inv. w_9",-34.60,-58.38,i_0009-00,"imageOf w_9, Bruzzone Database",Argentina,Argentinean,Contemporary,c_1,CC BY-SA 4.0 Roberto Macchiavelli,https://museosabiertos.org/assets/,https://museosabiertos.org/assets/AR-MA-Bruzzone-Bianchi-Coleccion-3-0009-00-EN.jpg,https://museosabiertos.org/assets/AR-MA-Bruzzone-Bianchi-Coleccion-3-0009-00-ES.jpg,Colección 3,Martin Gersbach; Museos Abiertos,collage (obra visual) [aat:300033963]; técnica mixta (material artístico) [aat:300163347]; lápiz de grafito [aat:300022443]; Argentinean; Contemporary,collages (visual works) [aat:300033963]; mixed media [aat:300163347]; graphite pencils [aat:300022443]; Argentinean; Contemporary,Imagen de un personaje abstracto,Image of an abstract character,Museos Abiertos,Martin Gersbach,Ciudad Autónoma de Buenos Aires (autonomous city) [tgn:7593303],2022-8-29,collage (obra visual) [aat:300033963],collages (visual works) [aat:300033963],técnica mixta (material artístico) [aat:300163347]; lápiz de grafito [aat:300022443],mixed media [aat:300163347]; graphite pencils [aat:300022443],Attribution 4.0 International (CC BY 4.0),https://museosabiertos.org/assets/,English,Spanish,"imageOf w_9, Bruzzone Database",w_9
w_345,AR-MA-Bruzzone-Bianchi-Tiempo-Compartido-0345-00-EN.jpg,AR-MA-Bruzzone-Bianchi-Tiempo-Compartido-0345-00-ES.jpg,Martin Gersbach,"Bianchi, Diego",Tiempo Compartido,fotografía [aat:300046300],photographs [aat:300046300],copia fotográfica [aat:300188795],copy prints [aat:300188795],"Foto de un cuarto con tres camas, abarrotado de decoraciones","Photo of a room with three beds, cluttered with decorations.",16.5 cm cm x 23.5 cm,2006 (creation),"Colección Bruzzone (Buenos Aires, Argentina) Inv. w_345",-34.60,-58.38,i_0345-00,"imageOf w_345, Bruzzone Database",Argentina,Argentinean,Contemporary,c_1,CC BY-SA 4.0 Roberto Macchiavelli,https://museosabiertos.org/assets/,https://museosabiertos.org/assets/AR-MA-Bruzzone-Bianchi-Tiempo-Compartido-0345-00-EN.jpg,https://museosabiertos.org/assets/AR-MA-Bruzzone-Bianchi-Tiempo-Compartido-0345-00-ES.jpg,Tiempo Compartido,Martin Gersbach; Museos Abiertos,fotografía [aat:300046300]; copia fotográfica [aat:300188795]; Argentinean; Contemporary,photographs [aat:300046300]; copy prints [aat:300188795]; Argentinean; Contemporary,"Foto de un cuarto con tres camas, abarrotado de decoraciones","Photo of a room with three beds, cluttered with decorations.",Museos Abiertos,Martin Gersbach,Ciudad Autónoma de Buenos Aires (autonomous city) [tgn:7593303],2022-8-29,fotografía [aat:300046300],photographs [aat:300046300],copia fotográfica [aat:300188795],copy prints [aat:300188795],Attribution 4.0 International (CC BY 4.0),https://museosabiertos.org/assets/,English,Spanish,"imageOf w_345, Bruzzone Database",w_345
w_1582,AR-MA-Bruzzone-Bianchic-Apreton-de-manos-1582-00-EN.jpg,AR-MA-Bruzzone-Bianchic-Apreton-de-manos-1582-00-ES.jpg,Martin Gersbach,"Bianchic, Emilio",Apretón de manos,dibujo (obra visual) [aat:300033973],drawings (visual works) [aat:300033973],papel de dibujo [aat:300014157]; marcador (instrumento de dibujo) [aat:300022457],drawing paper [aat:300014157]; markers (drawing instruments) [aat:300022457],"Dos manos con mangas, se dan un apretón. Una es obscura, la otra clara con uñas largas y rojas","Two hands with sleeves, shake hands. One is dark, the other light with long red nails.",24 cm x 34 cm,2018 (creation),"Colección Bruzzone (Buenos Aires, Argentina) Inv. w_1582",-34.60,-58.38,i_1582-00,"imageOf w_1582, Bruzzone Database",Argentina,Argentinean,Contemporary,c_1,CC BY-SA 4.0 Roberto Macchiavelli,https://museosabiertos.org/assets/,https://museosabiertos.org/assets/AR-MA-Bruzzone-Bianchic-Apreton-de-manos-1582-00-EN.jpg,https://museosabiertos.org/assets/AR-MA-Bruzzone-Bianchic-Apreton-de-manos-1582-00-ES.jpg,Apretón de manos,Martin Gersbach; Museos Abiertos,dibujo (obra visual) [aat:300033973]; papel de dibujo [aat:300014157]; marcador (instrumento de dibujo) [aat:300022457]; Argentinean; Contemporary,drawings (visual works) [aat:300033973]; drawing paper [aat:300014157]; markers (drawing instruments) [aat:300022457]; Argentinean; Contemporary,"Dos manos con mangas, se dan un apretón. Una es obscura, la otra clara con uñas largas y rojas","Two hands with sleeves, shake hands. One is dark, the other light with long red nails.",Museos Abiertos,Martin Gersbach,Ciudad Autónoma de Buenos Aires (autonomous city) [tgn:7593303],2022-8-29,dibujo (obra visual) [aat:300033973],drawings (visual works) [aat:300033973],papel de dibujo [aat:300014157]; marcador (instrumento de dibujo) [aat:300022457],drawing paper [aat:300014157]; markers (drawing instruments) [aat:300022457],Attribution 4.0 International (CC BY 4.0),https://museosabiertos.org/assets/,English,Spanish,"imageOf w_1582, Bruzzone Database",w_1582
w_1966,AR-MA-Bruzzone-Bianchic-Emilio-Ana-Karenina-1966-00-EN.jpg,AR-MA-Bruzzone-Bianchic-Emilio-Ana-Karenina-1966-00-ES.jpg,Martin Gersbach,"Bianchic, Emilio",Ana Karenina,libro [aat:300028051],books [aat:300028051],papel (producto de fibra) [aat:300014109]; tinta [aat:300015012],paper (fiber product) [aat:300014109]; ink [aat:300015012],Libro de cuento,Storybook,21 cm x 14.5 cm,2020 (creation),"Colección Bruzzone (Buenos Aires, Argentina) Inv. w_1966",-34.60,-58.38,i_1966-00,"imageOf w_1966, Bruzzone Database",Argentina,Argentinean,Contemporary,c_1,CC BY-SA 4.0 Roberto Macchiavelli,https://museosabiertos.org/assets/,https://museosabiertos.org/assets/AR-MA-Bruzzone-Bianchic-Emilio-Ana-Karenina-1966-00-EN.jpg,https://museosabiertos.org/assets/AR-MA-Bruzzone-Bianchic-Emilio-Ana-Karenina-1966-00-ES.jpg,Ana Karenina,Martin Gersbach; Museos Abiertos,libro [aat:300028051]; papel (producto de fibra) [aat:300014109]; tinta [aat:300015012]; Argentinean; Contemporary,books [aat:300028051]; paper (fiber product) [aat:300014109]; ink [aat:300015012]; Argentinean; Contemporary,Libro de cuento,Storybook,Museos Abiertos,Martin Gersbach,Ciudad Autónoma de Buenos Aires (autonomous city) [tgn:7593303],2022-8-29,libro [aat:300028051],books [aat:300028051],papel (producto de fibra) [aat:300014109]; tinta [aat:300015012],paper (fiber product) [aat:300014109]; ink [aat:300015012],Attribution 4.0 International (CC BY 4.0),https://museosabiertos.org/assets/,English,Spanish,"imageOf w_1966, Bruzzone Database",w_1966
